=== SUSPECTED HANG CAPTURE 2026-06-15T01:04:50Z elapsed=121s node-claude-pid=42587 ===
log_bytes=       0 deadline=1800s
--- ps -ef ---
  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   753     1   0  7 6월26 ??         1:57.34 /usr/libexec/sharingd
  501   755     1   0  7 6월26 ??         7:09.98 /usr/sbin/usernoted
  501   759     1   0  7 6월26 ??         0:02.58 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  501   761     1   0  7 6월26 ??        13:24.10 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   764     1   0  7 6월26 ??         0:04.60 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQ2xvdWREb2NzLmlDbG91ZERyaXZlRmlsZVByb3ZpZGVyIiwidHlwZSI6MX0=
  501   768     1   0  7 6월26 ??         0:07.01 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   770     1   0  7 6월26 ??         0:38.87 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   771     1   0  7 6월26 ??         1:31.86 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501   779     1   0  7 6월26 ??        97:26.00 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501   780     1   0  7 6월26 ??         1:13.91 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   785     1   0  7 6월26 ??         2:15.12 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   803     1   0  7 6월26 ??         0:00.37 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501   804     1   0  7 6월26 ??         0:03.03 /usr/libexec/avconferenced
  501   805     1   0  7 6월26 ??         0:00.08 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzIn0=
  501   806     1   0  7 6월26 ??         0:06.68 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   807     1   0  7 6월26 ??        17:26.40 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
